,question,answer,tags
55,19 What is Collaborative filtering? And a content based?,"The process of filtering used by most of the recommender systems to find patterns or information by collaborating viewpoints, various data sources and multiple agents
It looks at the items they like (usually based on rating) and combines them to create a ranked list of suggestions Similar users are those with similar rating and on the based on that they get recommendations In content based, we look only at the item level, recommending on similar items sold
An example of collaborative filtering can be to predict the rating of a particular user based on his/her ratings for other movies and others ratings for all movies This concept is widely used in recommending movies in IMDB, Netflix & BookMyShow, product recommenders in e-commerce sites like Amazon, eBay & Flipkart, YouTube video recommendations and game recommendations in Xbox",[]
56,20 How can outlier values be treated?,"Outlier values can be identified by using univariate or any other graphical analysis method If the number of outlier values is few then they can be assessed individually but for a large number of outliers, the values can be substituted with either the 99th or the 1st percentile values
All extreme values are not outlier values The most common ways to treat outlier values:
preferences or ratings that a user would give to a product
Collaborative filtering is a technique
that can filter out items that a user might like on the basis of reactions by similar users It works by searching a large group of people and finding a smaller set of users with tastes similar to a particular user",[]
57,21 What are the various steps involved in an analytics project?,"The following are the various steps involved in an analytics project:
variables, etc
is an iterative step until the best possible outcome is achieved
the period of time",[]
58,"22 During analysis, how do you treat missing values?","The extent of the missing values is identified after identifying the variables with missing values If any patterns are identified the analyst has to concentrate on them as it could lead to interesting and meaningful business insights
If there are no patterns identified, then the missing values can be substituted with mean or median values (imputation) or they can simply be ignored Assigning a default value which can be mean, minimum or maximum value Getting into the data is important
If it is a categorical variable, the default value is assigned The missing value is assigned a default value If you have a distribution of data coming, for normal distribution give the mean value
If 80% of the values for a variable are missing, then you can answer that you would be dropping the variable instead of treating the missing values",[]
59,23 How will you define the number of clusters in a clustering algorithm?,"https://stackabusecom/hierarchical-clustering-with-python-and-scikit-learn/
Though the Clustering Algorithm is not specified, this question is mostly in reference to K-Means clustering where K defines the number of clusters The objective of clustering is to group similar entities in a way that the entities within a group are similar to each other, but the groups are different from each other
For example, the following image shows three different groups
Within Sum of squares is generally used to explain the homogeneity within a cluster If you plot WSS (as the sum of the squared distance between each member of the cluster and its centroid) for a range of number of clusters, you will get the plot shown below
The Graph is generally known as Elbow Curve
Red circled a point in above graph ie Number of Cluster = 3 is the point after which you dont see
any decrement in WSS
This point is known as the bending point and taken as K in K  Means
This is the widely used approach but few data scientists also use Hierarchical clustering first to create dendrograms and identify the distinct groups from there
The algorithm starts by finding the two points that are closest to each other on the basis of Euclidean distance If we look back at Graph1, we can see that points 2 and 3 are closest to each other while points 7 and 8 are closes to each other Therefore a cluster will be formed between these two points first In Graph2, you can see that the dendograms have been created joining points 2 with 3, and 8 with 7 The vertical height of the dendogram shows the Euclidean distances between points From Graph2, it can be seen that Euclidean distance between points 8 and 7 is greater than the distance between point 2 and 3 The next step is to join the cluster formed by joining two points to the next nearest cluster or point which in turn results in another cluster If you look at Graph1, point 4 is closest to cluster of point 2 and 3, therefore in Graph2 dendrogram is generated by joining point 4 with dendrogram of point 2 and 3 This process continues until all the points are joined together to form one big cluster
Once one big cluster is formed, the longest vertical distance without any horizontal line passing through it is selected and a horizontal line is drawn through it The number of vertical lines this newly created horizontal line passes is equal to number of clusters Take a look at the following plot:
We can see that the largest vertical distance without any horizontal line passing through it is represented by blue line So we draw a new horizontal red line that passes through the blue line Since it crosses the blue line at two points, therefore the number of clusters will be 2 Basically the horizontal line is a threshold, which defines the minimum distance required to be a separate cluster If we draw a line further down, the threshold required to be a new cluster will be decreased and more clusters will be formed as see in the image below:
In the above plot, the horizontal line passes through four vertical lines resulting in four clusters: cluster of points 6,7,8 and 10, cluster of points 3,2,4 and points 9 and 5 will be treated as single point clusters",[]
60,24 What is Ensemble Learning?,"alone
In statistics and machine learning, ensemble methods use multiple learning algorithms to obtain better predictive performance than could be obtained from any of the constituent learning algorithms
Ensembles are a divide-and-conquer approach used to improve performance The main principle
behind ensemble methods is that a group of weak learners can come together to form a strong
learner Each classifier, individually, is a weak learner, while all the classifiers taken together are a
strong learner
https://mediumcom/@ruhi3929/bagging-and-boosting-method-c036236376eb
Ensemble learning has many types but two more popular ensemble learning techniques are mentioned below
Bagging
Pros
Bagging method helps when we face variance or overfitting in the model It provides an environment to deal with variance by using N learners of same size on same algorithm
During the sampling of train data, there are many observations which overlaps So, the combination of these learners helps in overcoming the high variance
Bagging uses Bootstrap sampling method (Bootstrappingis any test or metric that uses random sampling with replacement and falls under the broader class of resampling methods)
Cons
Bagging is not helpful in case of bias or underfitting in the data
Bagging ignores the value with the highest and the lowest result which may have a wide difference
and provides an average result
Boosting
Pros
Boosting technique takes care of the weightage of the higher accuracy sample and lower accuracy sample and then gives the combined results
Net error is evaluated in each learning steps It works good with interactions
Boosting technique helps when we are dealing with bias or underfitting in the data set
Multiple boosting techniques are available For example: AdaBoost, LPBoost, XGBoost,
GradientBoost, BrownBoost
Cons
Boosting technique often ignores overfitting or variance issues in the data set
Bagging tries to implement similar learners on small sample populations and then takes a mean of all the predictions In generalized bagging, you can use different learners on different population As you expect
this helps us to reduce the variance error
Boosting is an iterative technique which adjusts the weight of an observation based on the last classification If an observation was classified incorrectly, it tries to increase the weight of this observation and vice versa Boosting in general decreases the bias error and builds strong predictive models However,
they may over fit on the training data
It increases the complexity of the classification
Time and computation can be a bit expensive
There are multiple areas where Bagging and Boosting technique is used to boost the accuracy
Banking: Loan defaulter prediction, fraud transaction
Credit risks
Kaggle competitions
Fraud detection
Recommender system for Netflix
Malware
Wildlife conservations and so on",[]
61,26 What is a Random Forest? How does it work?,"Random forest is a versatile machine learning method capable of performing:
regression
classification
dimensionality reduction
treat missing values
outlier values
It is a type of ensemble learning method, where a group of weak models combine to form a powerful model The random forest starts with a standard machine learning technique called a decision tree which, in ensemble terms, corresponds to our weak learner In a decision tree, an input is entered at the top and as it traverses down the tree the data gets bucketed into smaller and smaller sets
trees",[]
62,27 How Do You Work Towards a Random Forest?,"https://blogcitizennetcom/blog/2012/11/10/random-forests-ensembles-and-performance-metrics
The underlying principle of this technique is that several weak learners combined to provide a keen learner Here is how such a system is trained for some number of trees T:
a For some number m (see below), m predictor variables are selected at random from all
the predictor variables
b The predictor variable that provides the best split, according to some objective function,
is used to do a binary split on that node
c At the next node, choose another m variables at random from all predictor variables and
do the same
Depending upon the value of m, there are three slightly different systems:
In Random Forest, we grow multiple trees as opposed to a single tree To classify a new object based on attributes, each tree gives a classification The forest chooses the classification having the most votes (Over all the trees in the forest) and in case of regression, it takes the average of outputs by different
Random splitter selection:  = 1
Breimans bagger:  = total number of predictor variables ()
Random forest:   number of predictor variables
o Brieman suggests three possible values for :  , , 2
When a new input is entered into the system, it is run down all of the trees The result may either be an average or weighted average of all of the terminal nodes that are reached, or, in the case of categorical variables, a voting majority
Note that:
With a large number of predictors (  0), the eligible predictor set () will be quite different
from node to node
The greater the inter-tree correlation, the greater the random forest error rate, so one pressure
on the model is to have the trees as uncorrelated as possible
As m goes down, both inter-tree correlation and the strength of individual trees go down So some
optimal value of m must be discovered
Strengths: Random forest runtimes are quite fast, and they are able to deal with unbalanced and
missing data
Weaknesses: Random Forest used for regression cannot predict beyond the range in the training
data, and that they may over-fit data sets that are particularly noisy Of course, the best test of
any algorithm is how well it works upon your own data set",[]
63,28 What cross-validation technique would you use on a time series data set?,"Instead of using k-fold cross-validation, you should be aware of the fact that a time series is not randomly
distributed data  It is inherently ordered by chronological order
In case of time series data, you should use techniques like    Where you will be model on past data then look at forward-facing data
fold 1: training[1], test[2]
fold 2: training[1 2], test[3] fold 3: training[1 2 3], test[4] fold 4: training[1 2 3 4], test[5]",[]
64,29 What is a Box-Cox Transformation?,"The dependent variable for a regression analysis might not satisfy one or more assumptions of an ordinary least squares regression The residuals could either curve as the prediction increases or follow the skewed distribution In such scenarios, it is necessary to transform the response variable so that the data meets the required assumptions
If the given data is not normal then most of the statistical techniques assume normality Applying a Box-Cox transformation means that you can run a broader
number of tests
A Box-Cox transformation is a way to transform non-normal dependent variables into a normal shape Normality is an important assumption for many statistical techniques, if your data isnt normal, applying a Box-Cox means that you are able to run a broader number of tests The Box-Cox transformation is named after statisticians George Box and Sir David Roxbee Cox who collaborated on a 1964 paper and developed the technique",[]
65,30 How Regularly Must an Algorithm be Updated?,"You will want to update an algorithm when:
You want the model to evolve as data streams through infrastructure
The underlying data source is changing
There is a case of non-stationarity (mean, variance change over the time)
The algorithm underperforms/results lack accuracy",[]
66,31 If you are having 4GB RAM in your machine and you want to train your model on 10GB data set How would you go about this problem? Have you ever faced this kind of problem in your machine learning/data science experience so far?,"First of all, you have to ask which ML model you want to train
For Neural networks: Batch size with Numpy array will work Steps:
For SVM: Partial fit will work Steps:
forward=chaining
A Box-Cox transformation is a statistical technique to transform non-normal
dependent variables into a normal shape
However, you could actually face such an issue in reality So, you could check out the best laptop for Machine Learning to prevent that Having said that, lets move on to some questions on deep learning
Deep Learning",[]
67,1 What do you mean by Deep Learning?,Deep Learning is nothing but a paradigm of machine learning which has shown incredible promise in recent years This is because of the fact that Deep Learning shows a great analogy with the functioning of the neurons in the human brain,[]
68,2 What is the difference between machine learning and deep learning?,"https://parsersme/deep-learning-machine-learning-whats-the-difference/
Machine learning is a field of computer science that gives computers the ability to learn without being explicitly programmed Machine learning can be categorized in the following four categories
Deep Learning is a subfield of machine learning concerned with algorithms inspired by the structure and function of the brain called artificial neural networks
The main difference between deep learning and machine learning is due to the way data is presented in the system Machine learning algorithms almost always require structured data, while deep learning networks rely on layers of ANN (artificial neural networks)
Machine learning algorithms are designed to learn to act by understanding labeled data and then use it to produce new results with more datasets However, when the result is incorrect, there is a need to teach them Because machine learning algorithms require bulleted data, they are not suitable for solving complex queries that involve a huge amount of data
Deep learning networks do not require human intervention, as multilevel layers in neural networks place data in a hierarchy of different concepts, which ultimately learn from their own mistakes However, even they can be wrong if the data quality is not good enough
Data decides everything It is the quality of the data that ultimately determines the quality of the result
Both of these subsets of AI are somehow connected to data, which makes it possible to represent a certain form of intelligence However, you should be aware that deep learning requires much more data than a traditional machine learning algorithm The reason for this is that deep learning networks can identify different elements in neural network layers only when more than a million data points interact Machine learning algorithms, on the other hand, are capable of learning by pre-programmed criteria",[]
69,"3 What, in your opinion, is the reason for the popularity of Deep Learning in recent times?","Now although Deep Learning has been around for many years, the major breakthroughs from these techniques came just in recent years This is because of two main reasons:
The increase in the amount of data generated through various sources
The growth in hardware resources required to run these models
GPUs are multiple times faster and they help us build bigger and deeper deep learning models in comparatively less time than we required previously",[]
70,4 What is reinforcement learning?,"Reinforcement Learning allows to take actions to max cumulative reward It learns by trial and error through reward/penalty system Environment rewards agent so by time agent makes better decisions Ex: robot=agent, maze=environment Used for complex tasks (self-driving cars, game AI)
RL is a series of time steps in a Markov Decision Process: 1 Environment: space in which RL operates",[]
71,5 What are Artificial Neural Networks?,"Artificial Neural networks are a specific set of algorithms that have revolutionized machine learning They are inspired by biological neural networks Neural Networks can adapt to changing the input, so the network generates the best possible result without needing to redesign the output criteria",[]
72,6 Describe the structure of Artificial Neural Networks?,"Artificial Neural Networks works on the same principle as a biological Neural Network It consists of inputs which get processed with weighted sums and Bias, with the help of Activation Functions",[]
73,7 How Are Weights Initialized in a Network?,"There are two methods here: we can either initialize the weights to zero or assign them randomly
Initializing all weights to 0: This makes your model similar to a linear model All the neurons and every layer perform the same operation, giving the same output and making the deep net useless
Initializing all weights randomly:
Here, the weights are assigned randomly by initializing them very close
to 0 It gives better accuracy to the model since every neuron performs different computations This is the
most commonly used method",[]
74,8 What Is the Cost Function?,The most known one is the mean sum of squared errors,[]
75,9 What Are Hyperparameters?,"With neural networks, youre usually working with hyperparameters once the data is formatted correctly A hyperparameter is a parameter whose value is set before the learning process begins It determines how a network is trained and the structure of the network (such as the number of hidden units, the learning rate, epochs, batches, etc)",[]
76,10 What Will Happen If the Learning Rate Is Set inaccurately (Too Low or Too High)?,"When your learning rate is too low, training of the model will progress very slowly as we are making minimal updates to the weights It will take many updates before reaching the minimum point
If the learning rate is set too high, this causes undesirable divergent behavior to the loss function due to drastic updates in weights It may fail to converge (model can give a good output) or even diverge (data is too chaotic for the network to train)",[]
77,"11 What Is The Difference Between Epoch, Batch, and Iteration in Deep Learning?","Epoch  Represents one iteration over the entire dataset (everything put into the training model)
Batch  Refers to when we cannot pass the entire dataset into the neural network at once, so we
divide the dataset into several batches
Iteration  if we have 10,000 images as data and a batch size of 200 then an epoch should run 50
iterations (10,000 divided by 50)",[]
78,12 What Are the Different Layers on CNN?,"https://towardsdatasciencecom/basics-of-the-classic-cnn-a3dce1225add
Also referred to as loss or error, cost function is a measure to evaluate how good your models performance is Its used to compute the error of the output layer during backpropagation We push that
error backwards through the neural network and use that during the different training functions
The Convolutional neural networks are regularized versions of multilayer perceptron (MLP) They were
developed based on the working of the neurons of the animal visual cortex
Lets say we have a color image in JPG form and its size is 480 x 480 The representative array will be 480 x 480 x 3 Each of these numbers is given a value from 0 to 255 which describes the pixel intensity at that point RGB intensity values of the image are visualized by the computer for processing
The objective of using the CNN:
It works similar to how our brain works When we look at a picture of a dog, we can classify it as such if the picture has identifiable features such as paws or 4 legs In a similar way, the computer is able to perform image classification by looking for low-level features such as edges and curves and then building up to more abstract concepts through a series of convolutional layers The computer uses low-level features obtained
at the initial levels to generate high-level features such as paws or eyes to identify the object There are four layers in CNN:
feature map Stride = how much you slide, and you get the max of the    matrix Fully Connected Layer  this layer recognizes and classifies the objects in the image
The idea is that you give the computer this array of numbers and it will output numbers that describe the
probability of the image being a certain class (80 for a cat, 15 for a dog, 05 for a bird, etc)
the layer that performs a convolutional operation, creating several smaller
picture windows to go over the data
it brings non-linearity to the network and converts all the negative
pixels to zero The output is a rectified feature map It follows each convolutional layer
pooling is a down-sampling operation that reduces the dimensionality of the
Convolution Operation
First Layer:
The image is resized to an optimal size and is fed as input to the convolutional layer Let us consider the input as 32x32x3 array of pixel values
Let the dimensions of the kernel of the filter be 5x5x3
The multiplications are summed up generating a single number for that particular receptive field and hence for sliding the kernel a total of 784 numbers are mapped to 28x28 array known as the feature map
High-level Perspective
Let us take a kernel of size (7x7x3) for understanding Each of the kernels is considered to be a feature identifier, hence say that our filter will be a curve detector
The original image and the visualization of the kernel on the image
The sum of the multiplication value that is generated is = 4  (50  30)
Now when the kernel moves to the other part of the image
The sum of the multiplication value that is generated is = 0 (small number)
The use of the small and the large value
In the picture, we can see some examples of actual visualizations of the filters of the first conv layer of a trained network Nonetheless, the main argument remains the same
Sequential convolutional layers after the first one
other filters for lines that curve to the left or for straight edges The more filters, the greater the
depth of the activation map, and the more information we have about the input volume
The filters on the
first layer convolve around the input image and activate (or compute high values) when the
specific feature it is looking for is in the input volume
Pooling Operation
As you go through the network and go through more convolutional layers, you
get activation maps that represent more and more complex features
By the end of the network, you may have some filters that activate when there is handwriting in
the image, filters that activate when they see pink objects, etc
It consists in getting the largest number out of a matrix to get the most important number and reduce the dimention
Max Pooling example
Classification
Training
We know kernels also known as feature identifiers, used for identification of specific features But how the kernels are initialized with the specific weights or how do the filters know what values to have
Hence comes the important step of training
The Forward Pass
For the first epoch or iteration of the training the initial kernels of the first convolutional layer are initialized with random values Thus, after the first iteration output will be something like [1111111111], which does not give preference to any class as the kernels dont have specific weights
The Loss Function
The training involves images along with labels, hence the label for the digit 3 will be [0 0 0 1 0 0 0 0 0 0], whereas the output after a first epoch is very different, hence we will calculate loss (MSE  Mean Squared Error)
The objective is to minimize the loss, which is an optimization problem in calculus It involves trying to adjust the weights to reduce the loss
The Backward Pass
most strongly correlate to a particular class and has particular weights so that when you compute the products between the weights and the previous layer, you get the correct probabilities for the
an FC layer looks at what high level features
different classes
The training process is also known as backpropagation, which
is further separated into 4 distinct sections or processes
Forward Pass
Loss Function
Backward Pass
Weight Update
It involves determining which weights contributed most to the loss and finding ways to adjust them so that the loss decreases
The weights update
This is where the weights of the kernel are updated using the following equation
Here the Learning Rate is chosen by the programmer Larger value of the learning rate indicates much larger steps towards optimization of steps and larger time to convolve to an optimized weight
Testing
Finally, to see whether or not our CNN works, we have a different set of images and labels (cant double dip between training and test!) and pass the images through the CNN We compare the outputs to the ground truth and see if our network works!",[]
79,"13 What Is Pooling on CNN, and How Does It Work?",Pooling is used to reduce the spatial dimensions of a CNN It performs down-sampling operations to reduce the dimensionality and creates a pooled feature map by sliding a filter matrix over the input matrix,[]
80,14 What are Recurrent Neural Networks (RNNs)?,"https://towardsdatasciencecom/recurrent-neural-networks-d4642c9bc7ce
RNNs are a type of artificial neural networks designed to recognize the pattern from the sequence of data such as Time series, stock market and government agencies etc
It is computed using  (or ), where L is the loss and the W is the weights of
the corresponding kernel
Recurrent Neural Networks (RNNs) add an interesting twist to basic neural networks A vanilla neural network takes in a fixed size vector as input which limits its usage in situations that involve a series type
input with no predetermined size
RNNs are designed to take a series of input with no predetermined limit on size One could ask whats the big deal, I can call a regular NN repeatedly too?
Sure can, but the series part of the input means something A single input item from the series is related to others and likely has an influence on its neighbors Otherwise it's just many inputs, not a series input (duh!)
Note: Basic feed forward networks remember things too, but they remember things they learnt during training For example, an image classifier learns what a 1 looks like during training and then uses that knowledge to classify things in production
Recurrent Neural Network remembers the past and its decisions are influenced by what it has learnt from
the past
While RNNs learn similarly while training, in addition, they remember things learnt from prior input(s) while generating output(s) RNNs can take one or more input vectors and produce one or more output vectors and the output(s) are influenced not just by weights applied on inputs like a regular NN, but also
by a hidden state vector representing the context based on prior input(s)/output(s)
could produce a different output depending on previous inputs in the series
So, the same input
In summary, in a vanilla neural network, a fixed size input vector is transformed into a fixed size output vector Such a network becomes recurrent when you repeatedly apply the transformations to a series of given input and produce a series of output vectors There is no pre-set limitation to the size of the vector And, in addition to generating the output which is a function of the input and hidden state, we
update the hidden state itself based on the input and use it in processing the next input
Parameter Sharing
You might have noticed another key difference between Figure 1 and Figure 3 In the earlier, multiple different weights are applied to the different parts of an input item generating a hidden layer neuron, which in turn is transformed using further weights to produce an output There seems to be a lot of weights in play here Whereas in Figure 3, we seem to be applying the same weights over and over again to different items in the input series
I am sure you are quick to point out that we are kind of comparing apples and oranges here The first figure deals with a single input whereas the second figure represents multiple inputs from a series But nevertheless, intuitively speaking, as the number of inputs increase, shouldnt the number of weights in play increase as well? Are we losing some versatility and depth in Figure 3?
Perhaps we are We are sharing parameters across inputs in Figure 3 If we dont share parameters across inputs, then it becomes like a vanilla neural network where each input node requires weights of their own This introduces the constraint that the length of the input has to be fixed and that makes it impossible to leverage a series type input where the lengths differ and is not always known
But what we seemingly lose in value here, we gain back by introducing the hidden state that links one input to the next
The hidden state captures the relationship that neighbors might have with each other
in a serial input and it keeps changing in every step, and thus effectively every input undergoes a different
transition!
Image classifying CNNs have become so successful because the 2D convolutions are an effective form of parameter sharing where each convolutional filter basically extracts the presence or absence of a feature
in an image which is a function of not just one pixel but also of its surrounding neighbor pixels
In other words, the success of CNNs and RNNs can be attributed to the concept of parameter sharing
which is fundamentally an effective way of leveraging the relationship between one input item and its
surrounding neighbors in a more intrinsic fashion compared to a vanilla neural network
Deep RNNs
While its good that the introduction of hidden state enabled us to effectively identify the relationship between the inputs, is there a way we can make an RNN deep and gain the multi-level abstractions and representations we gain through depth in a typical neural network?
Here are four possible ways to add depth
Bidirectional RNNs
Sometimes its not just about learning from the past to predict the future, but we also need to look into the future to fix the past In speech recognition and handwriting recognition tasks, where there could be
considerable ambiguity given just one part of the input, we often need to know whats coming next to
better understand the context and detect the present
This does introduce the obvious challenge of how much into the future we need to look into, because if
And in cases like speech recognition, waiting till an entire sentence is spoken might make for a less compelling use case Whereas for NLP tasks, where the inputs tend to be available, we can likely consider entire sentences all at once Also, depending on the application, if the sensitivity to immediate and closer neighbors is higher than
inputs that come further away, a variant that looks only into a limited future/past can be modeled
Recursive Neural Network
Recursive Neural Networks are a more general form of Recurrent Neural Networks It can operate on any hierarchical tree structure
we have to wait to see all inputs then the entire operation will become costly
A recurrent neural network parses the inputs in a sequential fashion A recursive neural network is similar to the extent that the transitions are repeatedly applied to inputs, but not necessarily in a sequential
fashion
Parsing through input nodes, combining child nodes into parent nodes
and combining them with other child/parent nodes to create a tree like structure Recurrent Neural Networks do the same, but the structure there is strictly linear ie weights are applied on the first input
node, then the second, third and so on
But this raises questions pertaining to the structure How do we decide that? If the structure is fixed like in Recurrent Neural Networks then the process of training, backprop, makes sense in that they are similar to a regular neural network But if the structure isnt fixed, is that learnt as well?
Encoder Decoder Sequence to Sequence RNNs
Another key difference in this arrangement is that the length of the input sequence and the length of the output sequence need not necessarily be the same
LSTMs
LSTM is not a different variant of RNN architecture, but rather it introduces changes to how we compute outputs and hidden state using the inputs
There are variants of LSTMs including GRUs that utilize the gates in different manners to address the problem of long-term
dependencies",[]
81,15 How Does an LSTM Network Work?,"http://karpathygithubio/2015/05/21/rnn-effectiveness
https://colahgithubio/posts/2015-08-Understanding-LSTMs/
Encoder Decoder or Sequence to Sequence RNNs are used a lot in translation services The basic idea is that there are two RNNs, one an encoder that keeps updating its hidden state and produces a final single Context output This is then fed to the decoder, which translates this context to a sequence of outputs
In a vanilla RNN, the input and the hidden state are simply passed through a single tanh layer LSTM (Long- Short-Term Memory) networks improve on this simple transformation and introduces additional gates and a cell state, such that it fundamentally addresses the problem of keeping or resetting context, across
sentences and regardless of the distance between such context resets
Long-Short-Term Memory (LSTM) is a special kind of recurrent neural network capable of learning long-
term dependencies, remembering information for long periods as its default behavior
steps in an LSTM network:
Step 1: The network decides what to forget and what to remember
Step 2: It selectively updates cell state values
Step 3: The network decides what part of the current state makes it to the output
Recurrent Neural Networks
For example, imagine you want to classify what kind of event is happening at every point in a movie Its unclear how a traditional
neural network could use its reasoning about previous events in the film to inform later ones
Recurrent Neural Networks have loops
In the above diagram, a chunk of neural network, A, looks at some input  and outputs a value h A loop allows information to be passed from one step of the network to the next
These loops make recurrent neural networks seem kind of mysterious However, if you think a bit more, it turns out that they arent all that different than a normal neural network
Recurrent neural networks address this issue They are networks with loops in them, allowing information
to persist
what happens if we unroll the loop:
There are three
Humans dont start their thinking from scratch every second As you read this essay, you understand each word based on your understanding of previous words You dont throw everything away and start thinking
from scratch again Your thoughts have persistence
Traditional neural networks cant do this, and it seems like a major shortcoming
A recurrent neural network
can be thought of as multiple copies of the same network, each passing a message to a successor
Consider
An unrolled recurrent neural network
This chain-like nature reveals that recurrent neural networks are intimately related to sequences and lists Theyre the natural architecture of neural network to use for such data
And they certainly are used! In the last few years, there have been incredible success applying RNNs to a variety of problems: speech recognition, language modeling, translation, image captioning
Essential to these successes is the use of LSTMs, a very special kind of recurrent neural network which works, for many tasks, much better than the standard version Almost all exciting results based on recurrent neural networks are achieved with them
The Problem of Long-Term Dependencies
One of the appeals of RNNs is the idea that they might be able to connect previous information to the present task, such as using previous video frames might inform the understanding of the present frame If RNNs could do this, theyd be extremely useful But can they? It depends
Sometimes, we only need to look at recent information to perform the present task For example, consider a language model trying to predict the next word based on the previous ones If we are trying to predict the last word in the clouds are in the sky, we dont need any further context  its pretty obvious the next word is going to be sky In such cases, where the gap between the relevant information and the place that its needed is small, RNNs can learn to use the past information
But there are also cases where we need more context Consider trying to predict the last word in the text I grew up in France I speak fluent French Recent information suggests that the next word is probably the name of a language, but if we want to narrow down which language, we need the context of France, from further back Its entirely possible for the gap between the relevant information and the point where it is needed to become very large
Unfortunately, as that gap grows, RNNs become unable to learn to connect the information
In theory, RNNs are absolutely capable of handling such long-term dependencies A human could carefully pick parameters for them to solve toy problems of this form Sadly, in practice, RNNs dont seem to be able to learn them Thankfully, LSTMs dont have this problem!
LSTM Networks
Long Short-Term Memory networks  usually just called LSTMs  are a special kind of RNN, capable of learning long-term dependencies They work tremendously well on a large variety of problems and are now widely used
All recurrent neural networks have the form of a chain of repeating modules of neural network In standard RNNs, this repeating module will have a very simple structure, such as a single tanh layer
The repeating module in a standard RNN contains a single layer
LSTMs are explicitly designed to avoid the long-term dependency problem Remembering information for
long periods of time is practically their default behavior, not something they struggle to learn!
LSTMs also have this chain like structure, but the repeating module has a different structure Instead of
having a single neural network layer, there are four, interacting in a very special way
The repeating module in an LSTM contains four interacting layers
In the above diagram, each line carries an entire vector, from the output of one node to the inputs of others The pink circles represent pointwise operations, like vector addition, while the yellow boxes are learned neural network layers Lines merging denote concatenation, while a line forking denotes its content being copied and the copies going to different locations
The Core Idea Behind LSTMs
The key to LSTMs is the cell state, the horizontal line running through the top of the diagram
The cell state is kind of like a conveyor belt It runs straight down the entire chain, with only some minor linear interactions Its very easy for information to just flow along it unchanged
The LSTM does have the ability to remove or add information to the cell state, carefully regulated by
structures called gates
Gates are a way to optionally let information through They are composed out of a sigmoid neural net
layer and a pointwise multiplication operation
The sigmoid layer outputs numbers between zero and one, describing how much of each component should be let through A value of zero means let nothing through, while a value of one means let everything through!
An LSTM has three of these gates, to protect and control the cell state",[]
82,16 What Is a Multi-layer Perceptron (MLP)?,"https://towardsdatasciencecom/what-the-hell-is-perceptron-626217814f53
As in Neural Networks, MLPs have an input layer, a hidden layer, and an output layer It has the same structure as a single layer perceptron with one or more hidden layers
Perceptron is a single layer neural network and a multi-layer perceptron is called Neural Networks
A (single layer) perceptron is a single layer neural network that works as a linear binary classifier Being a single layer neural network, it can be trained without the use of more advanced algorithms like back propagation and instead can be trained by ""stepping towards"" your error in steps specified by a learning rate When someone says perceptron, I usually think of the single layer version
A single layer perceptron can classify only linear separable classes with binary output {0,1} or {-1,1}, but
MLP can classify nonlinear classes
required values like {0, 1} or {-1, 1}
The activation functions are used to map the input between the
Except for the input layer, each node in the other layers uses a nonlinear activation function This means the input layers, the data coming in, and the activation function is based upon all nodes and weights being added together, producing the output
Usually, RELU is in hidden layers (it does not classify), and Soft-max or tanh is in output layers
Lets first explain what a gradient is A gradient is a mathematical function When calculated on a point of a function, it gives the hyperplane (or slope) of the directions in which the function increases more The gradient vector can be interpreted as the ""direction and rate of fastest increase"" If the gradient of a
MLP uses a supervised learning method called backpropagation
In backpropagation, the neural network calculates the error with the help of cost function It propagates
this error backward from where it came (adjusts the weights to train the model more accurately)
function is non-zero at a point p, the direction of the gradient is the direction in which the function increases most quickly from p, and the magnitude of the gradient is the rate of increase in that direction
Gradient descent is a first-order iterative optimization algorithm for finding the minimum of a function
So, the idea is to pass the training set through the hidden layers of the neural network and then update the parameters of the layers by computing the gradients using the training samples from the training dataset
Think of it like this Suppose a man is at top of the valley and he wants to get to the bottom of the valley So, he goes down the slope He decides his next position based on his current position and stops when he gets to the bottom of the valley which was his goal",[]
83,18 What is exploding gradients?,"https://machinelearningmasterycom/exploding-gradients-in-neural-networks/
While training an RNN, if you see exponentially growing (very large) error gradients which accumulate and result in very large updates to neural network model weights during training, theyre known as exploding gradients At an extreme, the values of weights can become so large as to overflow and result in NaN values
This has the effect of your model is unstable and unable to learn from your training data
Further, the gradient is the zero vector at a point if and only if it is a stationary point (where the derivative
vanishes)
In DS, it simply measures the change in all weights with regard to the change in error, as we are partially
derivating by w the loss function
The goal of the gradient descent is to minimize a given function which, in our case, is the loss function of
the neural network To achieve this goal, it performs two steps iteratively
amount
The explosion occurs through exponential growth by repeatedly multiplying gradients through the
network layers that have values larger than 10
There are some subtle signs that you may be suffering from exploding gradients during the training of your network, such as:
The model is unable to get traction on your training data (eg poor loss)
The model is unstable, resulting in large changes in loss from update to update
Solutions
a In deep neural networks, exploding gradients may be addressed by redesigning the
network to have fewer layers There may also be some benefit in using a smaller batch
size while training the network
b In RNNs, updating across fewer prior time steps during training, called truncated
Backpropagation through time, may reduce the exploding gradient problem",[]
